n_people,n_encounters,n_events,palette_colour_name,type_description,palette_code,type_code,intensity_type,intensity_severity_risk,clinical_focus,service_type,service_location,population_age,facility_name,building_name,unit_name,location_category,location_grouping,location_type,site_key,facility_key,building_key,unit_key
3,3,6,Other high-intensity community treatment teams (tertiary level),Other high-intensity community treatment teams (tertiary level),52,14,Community Support,High Intensity Community Tx & Support,MHSU,Intensive Case Management (MHSU),Community,"Adults, some adols, older adults",MHSU - Community - ICMT,"Brooks Landing, Nanaimo - MHSU",Intensive Case Management Services,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHCICM,BROO,ICMB
3,3,4,Psychiatric Consultation Services - Ambulatory,Psychiatric [only] Clinic Services - Adults,84,42,Ambulatory-Mixed,Ambulatory Mixed-Moderate Intensity,MHSU,Ambulatory-Mixed,Ambulatory Clinic,"Adults, some adols, older adults",MHSU - Community - Chronic Support,Royal Jubilee Eric Martin Pavilion,Mood Disorders Psychiatrist only Service,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHCCS,EMP,PMDS
3,4,306,"Surgical - Pre, Post",Surgery - Post - Acute Care,92,148,Surgery,Surgical-Post-Acute Care,Surgical,Surgical-Post-Acute Care,Hospital,Mixed Ages,Royal Jubilee Hospital,Royal Jubilee Patient Care Centre,RJH - 7 South East - General Surgery and Complex Wound Care,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,RJHAC,PCC,7SER
3,3,56,"Surgical - Pre, Post",Surgery - Post - Acute Care,92,148,Surgery,Surgical-Post-Acute Care,Surgical,Surgical-Post-Acute Care,Hospital,Mixed Ages,Victoria General - Acute Care,Victoria General - Acute Care,VGH - South 7A - Women's General Surgery,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,VGHAC,VGH-AC,S7A
3,3,64,"Surgical - Pre, Post",Surgery - Post - Acute Care,92,148,Surgery,Surgical-Post-Acute Care,Surgical,Surgical-Post-Acute Care,Hospital,Mixed Ages,Victoria General - Acute Care,Victoria General - Acute Care,VGH - South 7B - Surgery/General Thoracic,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,VGHAC,VGH-AC,S7B
3,3,588,"Surgical - Pre, Post",Surgery - Post - Acute Care,92,148,Surgery,Surgical-Post-Acute Care,Surgical,Surgical-Post-Acute Care,Hospital,Mixed Ages,Victoria General Hospital,Victoria General Hospital,VGH - South 7A - Women's General Surgery,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,VGHAC,VGHA,S7A
3,3,472,"Surgical - Pre, Post",Surgery - Post - Acute Care,92,148,Surgery,Surgical-Post-Acute Care,Surgical,Surgical-Post-Acute Care,Hospital,Mixed Ages,Victoria General Hospital,Victoria General Hospital,VGH - South 7B - Surgery/General Thoracic,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,VGHAC,VGHA,S7B
3,3,6,"Surgical - Pre, Post",Surgery - Prep - Recovery - Mixed Ages,92,142,Surgery,"Surgical-Care, Support",Surgical,"Surgery-Prep, Recovery",Hospital,Mixed Ages,Victoria General - Acute Care,Victoria General - Acute Care,Pre Admission Clinic,Ambulatory,Ambulatory Clinic,Ambulatory Clinic,NA,VGHAC,VGH-AC,PAC-V
3,4,17,Surgical - Procedure,Surgery - Same Day - Mixed Ages,93,146,Surgery,Surgery-Procecure-Same Day,Surgical,Surgery-Day Procedure,Hospital,Mixed Ages,Royal Jubilee Hospital,Royal Jubilee Main,RJH - Surgical Day Care,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,RJHAC,MAIN,SDC-R
3,3,20,Surgical - Procedure,Surgery - Same Day - Mixed Ages,93,146,Surgery,Surgery-Procecure-Same Day,Surgical,Surgery-Day Procedure,Hospital,Mixed Ages,Victoria General - Acute Care,Victoria General - Acute Care,VGH - Surgical Day Care,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,VGHAC,VGH-AC,SDC-V
2,2,3,Acute Care - Community-based - Adult (tertiary level),Acute Care - Community-based - Adult (tertiary level),24,10,"ED, Urgent Care, Acute",Tertiary Acute,MHSU,Acute Care-Tertiary,Community Facility,"Adults, some adols, older adults",Mental Health & Addictions Services - Residential Care,Seven Oaks,House 1,Inpatient-Residential,Inpatient-Residential,Inpt-ResCare-MHAS,NA,MHS-RC,SOAKS,H1
2,2,3,Acute Care - Community-based - Adult (tertiary level),Acute Care - Community-based - Adult (tertiary level),24,10,"ED, Urgent Care, Acute",Tertiary Acute,MHSU,Acute Care-Tertiary,Community Facility,"Adults, some adols, older adults",Mental Health & Addictions Services - Residential Care,Seven Oaks,House 2,Inpatient-Residential,Inpatient-Residential,Inpt-ResCare-MHAS,NA,MHS-RC,SOAKS,H2
2,2,110,Acute Care - Med-Surg,Acute Care - Med-Surg - Mixed Ages,5,68,"ED, Urgent Care, Acute",Acute Care,Med-Surg,Acute Care,Hospital,Mixed Ages,Royal Jubilee - Acute Care,Royal Jubilee Patient Care Centre,RJH - 4 South West - Kidney Care Unit,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,RJHAC,PCC,4SWR
2,2,110,Acute Care - Med-Surg,Acute Care - Med-Surg - Mixed Ages,5,68,"ED, Urgent Care, Acute",Acute Care,Med-Surg,Acute Care,Hospital,Mixed Ages,Royal Jubilee - Acute Care,Royal Jubilee Patient Care Centre,RJH - 8 South West - General Medicine and Oncology Care,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,RJHAC,PCC,8SWR
2,2,318,Acute Care - Med-Surg,Acute Care - Med-Surg - Mixed Ages,5,68,"ED, Urgent Care, Acute",Acute Care,Med-Surg,Acute Care,Hospital,Mixed Ages,Royal Jubilee Hospital,Royal Jubilee Patient Care Centre,RJH - 8 North West - General Medicine and Lung Health,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,RJHAC,PCC,8NWR
2,2,90,Acute Care - Med-Surg,Acute Care - Med-Surg - Mixed Ages,5,68,"ED, Urgent Care, Acute",Acute Care,Med-Surg,Acute Care,Hospital,Mixed Ages,Royal Jubilee Hospital,Royal Jubilee Patient Care Centre,RJH - 8 South East - General Medicine and Oncology Care,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,RJHAC,PCC,8SER
2,2,306,Acute Care - Med-Surg,Acute Care - Med-Surg - Mixed Ages,5,68,"ED, Urgent Care, Acute",Acute Care,Med-Surg,Acute Care,Hospital,Mixed Ages,Royal Jubilee Hospital,Royal Jubilee Patient Care Centre,RJH - 8 South West - General Medicine and Oncology Care,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,RJHAC,PCC,8SWR
2,3,118,Acute Care - Med-Surg,Acute Care - Med-Surg - Mixed Ages,5,68,"ED, Urgent Care, Acute",Acute Care,Med-Surg,Acute Care,Hospital,Mixed Ages,Victoria General - Acute Care,Victoria General - Acute Care,VGH - North 6C - Acute Medical/Respiratory,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,VGHAC,VGH-AC,N6C
2,2,390,Acute Care - Med-Surg,Acute Care - Med-Surg - Mixed Ages,5,68,"ED, Urgent Care, Acute",Acute Care,Med-Surg,Acute Care,Hospital,Mixed Ages,Victoria General Hospital,Victoria General Hospital,VGH - North 6D - Acute Medicine,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,VGHAC,VGHA,N6D
2,2,4,Addictions - Ambulatory (secondary level),Addictions - Ambulatory (secondary level),12,22,Ambulatory-Chronic,Ambulatory Chronic Care-Moderate Intensity,MHSU-Addictions,Ambulatory-Chronic,Ambulatory Clinic,"Adults, some adols, older adults",MHSU - Community - Substance Use,"Barons Road, Nanaimo",Adult Community Addiction Services - Nanaimo,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHCSU,BARO,ACSN
2,3,6,Addictions - Post Withdrawal Stabilization (secondary level),Addictions - Post Withdrawal Stabilization (secondary level),10,24,Residential Care,Medium Intensity Res Care,MHSU-Addictions,Res Care-MHSU-Post Detox,Community Facility,"Adults, some adols, older adults",MHSU - Residential - Stabilization / Supportive Recovery,Grove,Grove,Inpatient-Residential,NA,Inpt-ResCare-MHAS,NA,MHRSR,GROVE,GR
2,2,4,Cardiovascular,Ambulatory Episodic - Cardiovascular Assessment - Mixed Ages,22,86,Ambulatory-Episodic,Ambulatory Episodic-Moderate Intensity,Cardiovascular,Diagnostics,Ambulatory Clinic,Mixed Ages,Royal Jubilee Hospital,Royal Jubilee Main,Echocardiography-RJH,Ambulatory,Ambulatory Clinic,Ambulatory Clinic,NA,RJHAC,MAIN,ECHO
2,2,2,Clinical Intake - Adult MHSU,Clinical Intake - Adult MHSU,64,33,"Intake, Assessment","Lower-Intensity Assessment, Intake, Referral",MHSU,Intake-Clinical,Ambulatory Clinic,"Adults, some adols, older adults",Mental Health & Addictions Service CI - Community Care,"Wentworth, Nanaimo - MHAS",Ter-Cent-Access-Nanaimo,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHASCC-CI,WENT,TCAN
2,2,4,"Crisis Response Teams - One-time, High-intensity - Emergency Response","Crisis Response Teams - One-time, High-intensity - Emergency Response",46,2,"ED, Urgent Care, Acute",Emergent-Community,MHSU,Crisis Response-Community,Community,Mixed Ages,Mental Health & Addictions Service CI - Community Care,"Brooks Landing, Nanaimo - MHAS",Crisis Services - Nanaimo,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHASCC-CI,BROO,CSNA
2,2,4,"Crisis Response Teams - One-time, High-intensity - Emergency Response","Crisis Response Teams - One-time, High-intensity - Emergency Response",46,2,"ED, Urgent Care, Acute",Emergent-Community,MHSU,Crisis Response-Community,Community,Mixed Ages,Mental Health & Addictions Service CI - Community Care,"Gibbins Road, Duncan - MHAS",Crisis Response Team - Duncan,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHASCC-CI,GIBB,CRTD
2,8,16,"Crisis Response Teams - One-time, High-intensity - Emergency Response","Crisis Response Teams - One-time, High-intensity - Emergency Response",46,2,"ED, Urgent Care, Acute",Emergent-Community,MHSU,Crisis Response-Community,Community,Mixed Ages,MHSU - Community - Urgent Episodic,"Brooks Landing, Nanaimo - MHSU",Crisis Services - Nanaimo,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHCUE,BROO,CSNA
2,2,70,Dedicated Psychiatric Emergency Settings - Emergency Response,Dedicated Psychiatric Emergency Settings - Emergency Response,47,1,"ED, Urgent Care, Acute",Emergent-Hospital,MHSU,ED-PES or Psychiatric Bed,Hospital-ED,Mixed Ages,Royal Jubilee Hospital,Royal Jubilee Main,RJH - Emergency,Emergency Room,Emergency-Waiting Room,ER-Waiting Room (PES),NA,RJHAC,MAIN,EHR
2,5,10,Diabetes Education,Diabetes Education - Mixed Ages,26,92,Ambulatory-Episodic,Ambulatory Episodic-Low Intensity,Diabetes,Ambulatory-Episodic,Ambulatory Clinic,Mixed Ages,Royal Jubilee Hospital,Royal Jubilee Main,Diabetic Education Centre-RJH,Ambulatory,Ambulatory Clinic,Ambulatory Clinic,NA,RJHAC,MAIN,DEC-R
2,6,7,ED - Med-Surg,ED - Med-Surg,28,80,"ED, Urgent Care, Acute",Emergent-Hospital,Emergency Response,ED-Medical,Hospital,Mixed Ages,Lady Minto Gulf Islands Hospital,Lady Minto Hospital,LMH - Emergency,Emergency Room,Emergency-General,ER-General,NA,LMH,LMH,ER-L
2,3,6,ED - Med-Surg,ED - Med-Surg,28,80,"ED, Urgent Care, Acute",Emergent-Hospital,Emergency Response,ED-Medical,Hospital,Mixed Ages,Nanaimo Regional General Hospital - Acute Care,Nanaimo Regional General - Acute Care,NRG - Emergency,Emergency Room,Emergency-General,ER-General,NA,NRG,NRGA,ERNR
2,2,41,ED - Med-Surg,ED - Med-Surg,28,80,"ED, Urgent Care, Acute",Emergent-Hospital,Emergency Response,ED-Medical,Hospital,Mixed Ages,Royal Jubilee - Acute Care,Royal Jubilee Main,RJH - Emergency,Emergency Room,Emergency-Treatment,ER-Ambulatory Treatment Area,NA,RJHAC,MAIN,ER-R
2,2,40,ED - Med-Surg,ED - Med-Surg,28,80,"ED, Urgent Care, Acute",Emergent-Hospital,Emergency Response,ED-Medical,Hospital,Mixed Ages,Royal Jubilee - Acute Care,Royal Jubilee Main,RJH - Emergency,Emergency Room,Emergency-Treatment,ER-Trauma Bay,NA,RJHAC,MAIN,ER-R
2,3,6,Electrodiagnostics,Electrodiagnostics,29,151,Ambulatory-Episodic,Ambulatory Episodic-Moderate Intensity,Electrodiagnostics,Diagnostics,Ambulatory Clinic,Mixed Ages,Victoria General - Acute Care,Victoria General - Acute Care,Electrodiagnostic Services,Ambulatory,Ambulatory Clinic,Ambulatory Clinic,NA,VGHAC,VGH-AC,EDS-V
2,2,3,Electrodiagnostics,Electrodiagnostics,29,151,Ambulatory-Episodic,Ambulatory Episodic-Moderate Intensity,Electrodiagnostics,Diagnostics,Ambulatory Clinic,Mixed Ages,Victoria General Hospital,Victoria General Hospital,Electrodiagnostic Services-VGH,Ambulatory,Ambulatory Clinic,Ambulatory Clinic,NA,VGHAC,VGHA,EDS-V
2,2,10,Endoscopy,Endoscopy,31,95,Surgery,Surgery-Day Procedure,Digestive System,Diagnostics,Hospital,Mixed Ages,Victoria General Hospital,Victoria General Hospital,VGH - Endoscopy,Ambulatory,Ambulatory Clinic,Ambulatory Clinic,NA,VGHAC,VGHA,ENDO-V
2,3,6,Lab - Island Health - General,Lab - Island Health - General,36,152,Laboratory,Lab-General,Lab,Laboratory,IH Lab,Mixed Ages,Island Clinical Support Services,Domiciliary Collections,Lab-RJH Domiciliary,Ambulatory,NA,Laboratory,NA,ICS,DOCI,RDOM
2,2,4,Lab - Island Health - General,Lab - Island Health - General,36,152,Laboratory,Lab-General,Lab,Laboratory,IH Lab,Mixed Ages,Island Clinical Support Services - SI,Domiciliary Collections,LAB-RJH Domiciliary,Ambulatory,Ambulatory,Laboratory,NA,IDC,Domiciliary,RDOM
2,6,7,Lab - Island Health - General,Lab - Island Health - General,36,152,Laboratory,Lab-General,Lab,Laboratory,IH Lab,Mixed Ages,Lady Minto Gulf Islands Hospital,Lady Minto Hospital,LMH-Lab Outpatient,Ambulatory,Ambulatory,Laboratory,NA,LMH,LMH,LAB-L
2,2,4,Lab - Island Health - General,Lab - Island Health - General,36,152,Laboratory,Lab-General,Lab,Laboratory,IH Lab,Mixed Ages,Nanaimo Regional General Hospital - Acute Care,Nanaimo Regional General - Acute Care,NRG-Lab Outpatient,Ambulatory,Ambulatory,Laboratory,NA,NRG,NRGA,LANR
2,2,4,MHSU - Case Management,Long-term Community/Clinic-based  Treatment & Support - Adult (secondary level),45,11,Community Support,Medium-Intensity Community Tx & Support,MHSU,Case Management-MHSU,Community,"Adults, some adols, older adults",Mental Health & Addictions Services Community Care,Eric Martin Pavilion,Schizophrenia Service,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHSCC,EMPM,SCZS
2,5,10,MHSU - Case Management,Long-term Community/Clinic-based  Treatment & Support - Adult (secondary level),45,11,Community Support,Medium-Intensity Community Tx & Support,MHSU,Case Management-MHSU,Community,"Adults, some adols, older adults",MHSU - Community - Case Management,"Brooks Landing, Nanaimo - MHSU",Adult Community Support Services - Nanaimo,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHCCM,BROO,ACS
2,3,6,"MHSU - Residential Care, High Support",Residential Care - MHSU -  Daily support - Unlicensed Moderate Support (secondary level),59,28,Residential Care,Medium Intensity Res Care,MHSU,"Res Care-MHSU-Group Home, Apartment Cluster",Community Facility,"Adults, some adols, older adults",Mental Health & Addictions Services - Residential Care,Blackwood Apts,Blackwood Street,Inpatient-Residential,Inpatient-Residential,Inpt-ResCare-MHAS,NA,MHS-RC,BLACK,BWOOD
2,2,3,"MHSU - Residential Care, High Support",Residential Care - MHSU -  Daily support - Unlicensed Moderate Support (secondary level),59,28,Residential Care,Medium Intensity Res Care,MHSU,"Res Care-MHSU-Group Home, Apartment Cluster",Community Facility,"Adults, some adols, older adults",Mental Health & Addictions Services - Residential Care,Cook,COOK,Inpatient-Residential,Inpatient-Residential,Inpt-ResCare-MHAS,NA,MHS-RC,COOK,COOK
2,2,3,"MHSU - Residential Care, High Support",Residential Care - MHSU -  Daily support - Unlicensed Moderate Support (secondary level),59,28,Residential Care,Medium Intensity Res Care,MHSU,"Res Care-MHSU-Group Home, Apartment Cluster",Community Facility,"Adults, some adols, older adults",Mental Health & Addictions Services - Residential Care,Johnson Manor,JOHN,Inpatient-Residential,Inpatient-Residential,Inpt-ResCare-MHAS,NA,MHS-RC,JOHN,JOHN
2,2,4,MHSU - Urgent  or Short-Term Ambulatory,Time-limited Ambulatory Treatment Services - Mental Health - Adults (secondary level),62,15,Ambulatory-Episodic,Ambulatory Episodic-Moderate Intensity,MHSU,Ambulatory-Episodic,Ambulatory Clinic,"Adults, some adols, older adults",Mental Health & Addictions Services Community Care,Church Street,Enhanced Collaborative Care-SI,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHSCC,CHUR,ECCS
2,3,6,MHSU - Urgent  or Short-Term Ambulatory,Time-limited Ambulatory Treatment Services - Mental Health - Adults (secondary level),62,15,Ambulatory-Episodic,Ambulatory Episodic-Moderate Intensity,MHSU,Ambulatory-Episodic,Ambulatory Clinic,"Adults, some adols, older adults",Mental Health & Addictions Services Community Care,Pembroke,Urgent Short Term Assessment & Tx and Group Therapy,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHSCC,PEMB,USTP
2,3,6,Opthamology,Opthamology,77,117,Ambulatory-Episodic,Ambulatory Episodic-Moderate Intensity,Ophthamology,Ambulatory-Episodic,Ambulatory Clinic,Mixed Ages,Royal Jubilee - Acute Care,Royal Jubilee Main,Ophthalmology Medical Suite,Ambulatory,Ambulatory Clinic,Ambulatory Clinic,NA,RJHAC,MAIN,OPHT-Med
2,2,4,Opthamology,Opthamology,77,117,Ambulatory-Episodic,Ambulatory Episodic-Moderate Intensity,Ophthamology,Ambulatory-Episodic,Ambulatory Clinic,Mixed Ages,Royal Jubilee Hospital,Royal Jubilee Main,Ophthalmology Medical Suite-RJH,Ambulatory,Ambulatory Clinic,Ambulatory Clinic,NA,RJHAC,MAIN,OPHT-Med
2,2,4,Psychiatric Consultation Services - Ambulatory,Psychiatric [only] Clinic Services - Adults,84,42,Ambulatory-Mixed,Ambulatory Mixed-Moderate Intensity,MHSU,Ambulatory-Mixed,Ambulatory Clinic,"Adults, some adols, older adults",Mental Health & Addictions Services Community Care,Eric Martin Pavilion,General Psychiatry Psychitrist only Service,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHSCC,EMPM,PGES
2,2,4,Psychiatric Consultation Services - Ambulatory,Psychiatric [only] Clinic Services - Adults,84,42,Ambulatory-Mixed,Ambulatory Mixed-Moderate Intensity,MHSU,Ambulatory-Mixed,Ambulatory Clinic,"Adults, some adols, older adults",Mental Health & Addictions Services Community Care,Eric Martin Pavilion,Schizophrenia Psychiatrist only Service,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHSCC,EMPM,PSCS
2,2,4,Residential Care - MHSU - Crisis Residential (secondary level),Residential Care - MHSU - Crisis Residential (secondary level),61,30,Residential Care,"Medium Intensity Res Care - Bridging, Crisis",MHSU,Res Care-MHSU-Crisis,Community Facility,"Adults, some adols, older adults",MHSU - Residential - Crisis,"Crescent House, Nanaimo - MHSU",Crescent House - ICMS,Inpatient-Residential,NA,Inpt-ResCare-MHAS,NA,MHRCR,CRES,CHN
2,2,342,Residential Care - MHSU - Daily Support - Licensed (secondary level),Residential Care - MHSU - Daily Support - Licensed (secondary level),60,29,Residential Care,Licensed Residential Care,MHSU,Res Care-MHSU-Licensed,Community Facility,"Adults, some adols, older adults",MHSU - Residential - Stabilization / Supportive Recovery,Glengarry,Glengarry-TCU,Inpatient-Residential,NA,Inpt-ResCare-MHAS,NA,MHRSR,Glengarry,TCUGL
2,2,4,Residential Care - MHSU - Lower Support (secondary level),Residential Care - MHSU - Lower Support (secondary level),58,26,Residential Care,Lower Intensity Res Care,MHSU,Res Care-MHSU -- Supported Independent Living,Community Facility,"Adults, some adols, older adults",MHSU - Residential - Supported Appts,Cedar Grove,CEDA,Inpatient-Residential,NA,Inpt-ResCare-MHAS,NA,MHRSA,CEDA,CEDA
2,2,3,Residential Care - MHSU - Rental Supplements,Residential Care - MHSU - Rental Supplements,57,25,Residential Care,Rental Supplement,MHSU,Rental Supplement-MHSU,Community,"Adults, some adols, older adults",Mental Health & Addictions Services Community Care,Eric Martin Pavilion,Rental Supplements - SI,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHSCC,EMPM,RSSI
2,2,88,"Surgical - Pre, Post",Surgery - Post - Acute Care,92,148,Surgery,Surgical-Post-Acute Care,Surgical,Surgical-Post-Acute Care,Hospital,Mixed Ages,Royal Jubilee - Acute Care,Royal Jubilee Patient Care Centre,RJH - 6 South East - General Surgery and Bone Health,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,RJHAC,PCC,6SER
2,2,42,"Surgical - Pre, Post",Surgery - Post - Acute Care,92,148,Surgery,Surgical-Post-Acute Care,Surgical,Surgical-Post-Acute Care,Hospital,Mixed Ages,Royal Jubilee - Acute Care,Royal Jubilee Patient Care Centre,RJH - 6 South West - General Surgery and Bone Health,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,RJHAC,PCC,6SWR
2,2,152,"Surgical - Pre, Post",Surgery - Post - Acute Care,92,148,Surgery,Surgical-Post-Acute Care,Surgical,Surgical-Post-Acute Care,Hospital,Mixed Ages,Royal Jubilee - Acute Care,Royal Jubilee Patient Care Centre,RJH - 7 South West - General Surgery and Complex Wound Care,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,RJHAC,PCC,7SWR
2,2,610,"Surgical - Pre, Post",Surgery - Post - Acute Care,92,148,Surgery,Surgical-Post-Acute Care,Surgical,Surgical-Post-Acute Care,Hospital,Mixed Ages,Royal Jubilee Hospital,Royal Jubilee Patient Care Centre,RJH - 6 South West - General Surgery and Bone Health,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,RJHAC,PCC,6SWR
2,3,6,"Surgical - Pre, Post",Surgery - Prep - Recovery - Mixed Ages,92,142,Surgery,"Surgical-Care, Support",Surgical,"Surgery-Prep, Recovery",Hospital,Mixed Ages,Royal Jubilee Hospital,Royal Jubilee Main,Pre Admission Clinic-RJH,Ambulatory,Ambulatory Clinic,Ambulatory Clinic,NA,RJHAC,MAIN,PAC-R
2,2,4,Wound Care,Wound Care,97,118,Ambulatory-Episodic,Ambulatory Episodic-Low Intensity,Wound Care,Ambulatory-Episodic,Ambulatory Clinic,Mixed Ages,Royal Jubilee Hospital,Royal Jubilee Main,Outpatient Burn & Wound Care Clinic-RJH,Ambulatory,Ambulatory Clinic,Ambulatory Clinic,NA,RJHAC,MAIN,OBWC
1,1,24,Acute Care - Community-based - Adult (tertiary level),Acute Care - Community-based - Adult (tertiary level),24,10,"ED, Urgent Care, Acute",Tertiary Acute,MHSU,Acute Care-Tertiary,Community Facility,"Adults, some adols, older adults",MHSU - Residential - Tertiary,Seven Oaks,House 3,Inpatient-Residential,NA,Inpt-ResCare-MHAS,NA,MHRTER,SOAKS,H3
1,1,20,Acute Care - Intensive - Mixed Ages,Acute Care - Intensive - Mixed Ages,2,77,"ED, Urgent Care, Acute",Intensive Care,Medical-Intensive,Intensive Care,Hospital,Mixed Ages,Royal Jubilee - Acute Care,Royal Jubilee Main,RJH - Intensive Care Unit,Inpatient-Acute,Inpatient Intensive Care Bed,InPt-ICU,NA,RJHAC,MAIN,ICU-R
1,1,258,Acute Care - Intensive - Mixed Ages,Acute Care - Intensive - Mixed Ages,2,77,"ED, Urgent Care, Acute",Intensive Care,Medical-Intensive,Intensive Care,Hospital,Mixed Ages,Royal Jubilee Hospital,Royal Jubilee Main,RJH - Intensive Care Unit,Inpatient-Acute,Inpatient Intensive Care Bed,InPt-ICU,NA,RJHAC,MAIN,ICU-R
1,1,202,Acute Care - Intensive - Mixed Ages,Acute Care - Intensive - Mixed Ages,2,77,"ED, Urgent Care, Acute",Intensive Care,Medical-Intensive,Intensive Care,Hospital,Mixed Ages,Victoria General Hospital,Victoria General Hospital,VGH - Intensive Care Unit,Inpatient-Acute,Inpatient Intensive Care Bed,InPt-ICU,NA,VGHAC,VGHA,ICU-V
1,1,28,Acute Care - Med-Surg,"Acute Care - Children, Adolescents",5,72,"ED, Urgent Care, Acute",Acute Care,Med-Surg,Acute Care,Hospital,"Children, Adolescents",Victoria General - Acute Care,Victoria General - Acute Care,VGH - North 4D - Pediatrics,Inpatient-Acute,Inpatient-Acute-Pediatric,Inpt-Acute-Pediatric,NA,VGHAC,VGH-AC,P4DN
1,1,8,Acute Care - Med-Surg,Acute Care - Med-Surg - Mixed Ages,5,68,"ED, Urgent Care, Acute",Acute Care,Med-Surg,Acute Care,Hospital,Mixed Ages,Lady Minto Gulf Islands Hospital,Lady Minto Hospital,LMH - Acute Care Unit,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,LMH,LDYM,ACU-L
1,1,84,Acute Care - Med-Surg,Acute Care - Med-Surg - Mixed Ages,5,68,"ED, Urgent Care, Acute",Acute Care,Med-Surg,Acute Care,Hospital,Mixed Ages,Nanaimo Regional General Hospital,Nanaimo Regional General Hospital,NRG - Floor 5 - Medical,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,NRG,NRGA,FL5
1,1,50,Acute Care - Med-Surg,Acute Care - Med-Surg - Mixed Ages,5,68,"ED, Urgent Care, Acute",Acute Care,Med-Surg,Acute Care,Hospital,Mixed Ages,Royal Jubilee - Acute Care,Royal Jubilee Patient Care Centre,RJH - 3 North West - Heart Health,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,RJHAC,PCC,3NWR
1,1,130,Acute Care - Med-Surg,Acute Care - Med-Surg - Mixed Ages,5,68,"ED, Urgent Care, Acute",Acute Care,Med-Surg,Acute Care,Hospital,Mixed Ages,Royal Jubilee Hospital,Royal Jubilee Patient Care Centre,RJH - 3 South East - Heart Health,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,RJHAC,PCC,3SER
1,1,42,Acute Care - Med-Surg,Acute Care - Med-Surg - Mixed Ages,5,68,"ED, Urgent Care, Acute",Acute Care,Med-Surg,Acute Care,Hospital,Mixed Ages,Royal Jubilee Hospital,Royal Jubilee Patient Care Centre,RJH - 3 South West - Heart Health,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,RJHAC,PCC,3SWR
1,1,346,Acute Care - Med-Surg,Acute Care - Med-Surg - Mixed Ages,5,68,"ED, Urgent Care, Acute",Acute Care,Med-Surg,Acute Care,Hospital,Mixed Ages,Royal Jubilee Hospital,Royal Jubilee Patient Care Centre,RJH - 8 North East - General Medicine and Lung Health,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,RJHAC,PCC,8NER
1,1,13,Acute Care - Med-Surg,Acute Care - Med-Surg - Mixed Ages,5,68,"ED, Urgent Care, Acute",Acute Care,Med-Surg,Acute Care,Hospital,Mixed Ages,Saanich Peninsula - Acute Care,Saanich Peninsula Acute Care,SPH - Acute Care Centre,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,SPHAC,SPH-AC,CENT
1,1,106,Acute Care - Med-Surg,Acute Care - Med-Surg - Mixed Ages,5,68,"ED, Urgent Care, Acute",Acute Care,Med-Surg,Acute Care,Hospital,Mixed Ages,Victoria General Hospital,Victoria General Hospital,VGH - South 5A - Orthopedics,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,VGHAC,VGHA,S5A
